win_size,Method,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20,Run_21,Run_22,Run_23,Run_24,Run_25
20,recon_single,0.92,0.8666666666666667,0.74,0.78,0.92,0.8066666666666666,0.9,0.7066666666666667,0.92,0.74,0.8333333333333334,0.8133333333333334,0.8333333333333334,0.8533333333333334,0.8466666666666667,0.7466666666666667,0.72,0.7933333333333333,0.7866666666666666,0.82,0.9266666666666666,0.84,0.9066666666666666,0.76,0.86
20,recon_single_lp,0.88,0.9466666666666667,0.9333333333333333,0.76,0.9733333333333334,0.9133333333333333,0.9533333333333334,0.8133333333333334,0.88,0.8133333333333334,0.8933333333333333,0.9066666666666666,0.9866666666666667,0.9466666666666667,0.94,0.9066666666666666,0.8,0.9133333333333333,0.8266666666666667,0.8933333333333333,0.9866666666666667,0.98,0.8933333333333333,0.86,0.8666666666666667
20,recon_all,0.92,0.8466666666666667,0.7333333333333333,0.7133333333333334,0.92,0.7933333333333333,0.9066666666666666,0.7333333333333333,0.8933333333333333,0.7266666666666667,0.8333333333333334,0.82,0.8133333333333334,0.86,0.8066666666666666,0.7466666666666667,0.7133333333333334,0.78,0.78,0.84,0.9266666666666666,0.84,0.9066666666666666,0.7866666666666666,0.8066666666666666
20,recon_all_lp,0.92,0.9133333333333333,0.9533333333333334,0.8133333333333334,0.9733333333333334,0.98,0.9466666666666667,0.9333333333333333,0.9466666666666667,0.84,0.9066666666666666,0.9133333333333333,0.98,0.98,0.94,0.84,0.8333333333333334,0.9533333333333334,0.8466666666666667,0.9533333333333334,0.9866666666666667,0.98,0.9333333333333333,0.8733333333333333,0.92
30,drift_localizer,0.8866666666666667,0.92,0.7933333333333333,0.9466666666666667,0.8333333333333334,0.76,0.9066666666666666,0.6666666666666666,0.8266666666666667,0.94,0.8066666666666666,0.8533333333333334,0.7666666666666667,0.74,0.8733333333333333,0.62,0.9,0.8466666666666667,0.7666666666666667,0.7533333333333333,0.8733333333333333,0.8266666666666667,0.9133333333333333,0.8266666666666667,0.86
30,one_local_l,0.8933333333333333,0.9266666666666666,0.78,0.94,0.8533333333333334,0.76,0.92,0.64,0.84,0.9133333333333333,0.8333333333333334,0.8133333333333334,0.7266666666666667,0.7133333333333334,0.8733333333333333,0.62,0.9333333333333333,0.8333333333333334,0.8,0.7666666666666667,0.8733333333333333,0.8066666666666666,0.8866666666666667,0.8466666666666667,0.8066666666666666
30,one_local_l_lp,0.9666666666666667,0.9266666666666666,0.9466666666666667,0.98,0.9666666666666667,0.8133333333333334,0.88,0.88,0.8266666666666667,0.96,0.8933333333333333,0.88,0.8133333333333334,0.88,0.96,0.8666666666666667,0.9666666666666667,0.9066666666666666,0.7133333333333334,0.8133333333333334,0.9066666666666666,0.98,0.9733333333333334,0.94,0.84
30,recon_single,0.8866666666666667,0.92,0.78,0.8933333333333333,0.84,0.8,0.8866666666666667,0.6666666666666666,0.7866666666666666,0.94,0.8,0.8133333333333334,0.7333333333333333,0.7533333333333333,0.8733333333333333,0.7,0.8933333333333333,0.84,0.7066666666666667,0.7666666666666667,0.8333333333333334,0.8,0.8866666666666667,0.8333333333333334,0.8333333333333334
30,recon_single_lp,0.96,0.96,0.9466666666666667,0.88,0.98,0.8666666666666667,0.9266666666666666,0.7333333333333333,0.88,0.8933333333333333,0.9,0.8933333333333333,0.8333333333333334,0.76,0.96,0.8266666666666667,0.9266666666666666,0.9133333333333333,0.7933333333333333,0.8133333333333334,0.84,0.96,0.9733333333333334,0.94,0.8533333333333334
30,recon_all,0.8866666666666667,0.9266666666666666,0.7666666666666667,0.94,0.84,0.7733333333333333,0.8933333333333333,0.6666666666666666,0.8133333333333334,0.92,0.7866666666666666,0.8533333333333334,0.7466666666666667,0.7133333333333334,0.8866666666666667,0.7,0.8933333333333333,0.82,0.7533333333333333,0.7866666666666666,0.86,0.8066666666666666,0.92,0.8266666666666667,0.8666666666666667
30,recon_all_lp,0.9866666666666667,0.9666666666666667,0.9466666666666667,0.98,0.98,0.92,0.9866666666666667,0.8933333333333333,0.88,0.98,0.9133333333333333,0.9333333333333333,0.8466666666666667,0.8933333333333333,0.9733333333333334,0.8533333333333334,0.94,0.9066666666666666,0.8266666666666667,0.9,0.92,0.98,0.9666666666666667,0.96,0.9133333333333333
